Name,Location,URL,Opening Hours,Ticket Prices (Adult),Ticket Prices (Student)
Church of Saint Sergius and Bacchus,Al-Fustat (Old Cairo),https://egymonuments.gov.eg/en/monuments/church-of-saint-sergius-and-bacchus,"{""Sunday"": ""09:00 AM - 04:00 PM"", ""Monday"": ""09:00 AM - 04:00 PM"", ""Tuesday"": ""09:00 AM - 04:00 PM"", ""Wednesday"": ""09:00 AM - 04:00 PM"", ""Thursday"": ""09:00 AM - 04:00 PM"", ""Friday"": ""09:00 AM - 04:00 PM"", ""Saturday"": ""09:00 AM - 04:00 PM""}",N/A,N/A
Ben ‘Ezra Synagogue,Al-Fustat (Old Cairo),https://egymonuments.gov.eg/en/monuments/ben-ezra-synagogue,"{""Sunday"": ""09:00 AM - 04:00 PM"", ""Monday"": ""09:00 AM - 04:00 PM"", ""Tuesday"": ""09:00 AM - 04:00 PM"", ""Wednesday"": ""09:00 AM - 04:00 PM"", ""Thursday"": ""09:00 AM - 04:00 PM"", ""Friday"": ""09:00 AM - 04:00 PM"", ""Saturday"": ""09:00 AM - 04:00 PM""}",N/A,N/A
The Mosque of ‘Amr ibn al-‘As,Al-Fustat (Old Cairo),https://egymonuments.gov.eg/en/monuments/the-mosque-of-amr-ibn-al-as,"{""Sunday"": ""09:00 AM - 04:00 PM"", ""Monday"": ""09:00 AM - 04:00 PM"", ""Tuesday"": ""09:00 AM - 04:00 PM"", ""Wednesday"": ""09:00 AM - 04:00 PM"", ""Thursday"": ""09:00 AM - 04:00 PM"", ""Friday"": ""09:00 AM - 04:00 PM"", ""Saturday"": ""09:00 AM - 04:00 PM""}",N/A,N/A
Rawda Island Nilometer,Al-Fustat (Old Cairo),https://egymonuments.gov.eg/en/monuments/rawda-island-nilometer,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Monastery of the Syrians,Behera,https://egymonuments.gov.eg/en/monuments/monastery-of-the-syrians,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
The Cemetery of Shatby,Alexandria,https://egymonuments.gov.eg/en/monuments/the-cemetery-of-shatby,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
The Church of the Burning Bush,Saint Catherine’s Monastery,https://egymonuments.gov.eg/en/monuments/the-church-of-the-burning-bush,"{""Sunday"": ""09:00 AM - 03:00 PM"", ""Monday"": ""09:00 AM - 03:00 PM"", ""Tuesday"": ""09:00 AM - 03:00 PM"", ""Wednesday"": ""09:00 AM - 03:00 PM"", ""Thursday"": ""09:00 AM - 03:00 PM"", ""Friday"": ""09:00 AM - 03:00 PM"", ""Saturday"": ""09:00 AM - 03:00 PM""}",N/A,N/A
The Library of Saint Catherine’s Monastery,Saint Catherine’s Monastery,https://egymonuments.gov.eg/en/monuments/the-library-of-saint-catherine-s-monastery,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
The Fatimid Mosque,Saint Catherine’s Monastery,https://egymonuments.gov.eg/en/monuments/the-fatimid-mosque,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Bagawat Cemetery,New Valley Governorate (El Wadi El Gedid Governorate),https://egymonuments.gov.eg/en/monuments/bagawat-cemetery,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Madrasa and Khanaqah of Sultan al-Zahir Barquq,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/madrasa-and-khanaqah-of-sultan-al-zahir-barquq,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
